Year,Country,Science,Science_se,,SES,Se,Sci Interest,,,,,From nces,,,
2009,Shanghai-China,575,,,,,,,,,,,"Serbia, Republic of",442.785787,2.365603196
2009,Korea,538,,,,,,,,,,,Shanghai-China,574.6173492,2.302368715
2009,Finland,554,,,,,,,,,,,Singapore,541.6955179,1.362796024
2009,Hong_Kong-China,549,,,,,,,,,,,Thailand,425.2962849,2.976285436
2009,Singapore,542,,,,,,,,,,,Trinidad and Tobago,410.1956173,1.237361421
2009,Canada,529,,,,,,,,,,,Tunisia,400.6614841,2.688612433
2009,New_Zealand,532,,,,,,,,,,,Uruguay,427.2142498,2.574898765
2009,Japan,539,,,,,,,,,,2006,Australia,526.879589,2.260280365
2009,Australia,527,,,,,,,,,,,Austria,510.8371545,3.924941411
2009,Netherlands,522,,,,,,,,,,,Belgium,510.3634841,2.484697726
2009,Belgium,507,,,,,,,,,,,Canada,534.4697774,2.0317591
2009,Norway,500,,,,,,,,,,,Chile,438.1774451,4.317691351
2009,Estonia,528,,,,,,,,,,,Czech Republic,512.8607459,3.478429894
2009,Switzerland,517,,,,,,,,,,,Denmark,495.8943102,3.108692969
2009,Poland,508,,,,,,,,,,,Estonia,531.3918043,2.522964811
2009,Iceland,496,,,,,,,,,,,Finland,563.3228345,2.018485657
2009,United_States,502,,,,,,,,,,,France,495.219839,3.36026475
2009,Liechtenstein,520,,,,,,,,,,,Germany,515.6491299,3.795617205
2009,Sweden,495,,,,,,,,,,,Greece,473.377964,3.230920767
2009,Germany,520,,,,,,,,,,,Hungary,503.931729,2.675972226
2009,Ireland,508,,,,,,,,,,,Iceland,490.7937745,1.637478178
2009,France,498,,,,,,,,,,,Ireland,508.3289299,3.186063096
2009,Chinese_Taipei,520,,,,,,,,,,,Israel,453.9037081,3.706953569
2009,Denmark,499,,,,,,,,,,,Italy,475.3972205,2.019322003
2009,United_Kingdom,514,,,,,,,,,,,Japan,531.3885091,3.374333497
2009,Hungary,503,,,,,,,,,,,"Korea, Republic of",522.1481413,3.357591779
2009,Portugal,493,,,,,,,,,,,Luxembourg,486.324363,1.054260266
2009,Macao-China,511,,,,,,,,,,,Mexico,409.6519516,2.714532706
2009,Italy,489,,,,,,,,,,,Netherlands,524.8615063,2.741642823
2009,Latvia,494,,,,,,,,,,,New Zealand,530.3843608,2.692904306
2009,Slovenia,512,,,,,,,,,,,Norway,486.5279575,3.111377822
2009,Greece,470,,,,,,,,,,,Poland,497.8065023,2.342462142
2009,Spain,488,,,,,,,,,,,Portugal,474.3058892,3.023313564
2009,Czech_Republic,500,,,,,,,,,,,Slovak Republic,488.4333986,2.585365171
2009,Slovak_Republic,490,,,,,,,,,,,Slovenia,518.8156098,1.11112068
2009,Croatia,486,,,,,,,,,,,Spain,488.4245227,2.565414371
2009,Israel,455,,,,,,,,,,,Sweden,503.3340059,2.374806677
2009,Luxembourg,484,,,,,,,,,,,Switzerland,511.5239095,3.162318842
2009,Austria,494,,,,,,,,,,,Turkey,423.8327452,3.839061249
2009,Lithuania,491,,,,,,,,,,,United Kingdom,514.7735479,2.289011257
2009,Turkey,454,,,,,,,,,,,United States,488.9068373,4.224188605
2009,Dubai_UAE,466,,,,,,,,,,,Albania,—,†
2009,Russian_Federation,478,,,,,,,,,,,Argentina,391.2439019,6.080039176
2009,Chile,447,,,,,,,,,,,Azerbaijan,382.3339368,2.753531055
2009,Serbia,443,,,,,,,,,,,Brazil,390.3315707,2.786336493
2009,Bulgaria,439,,,,,,,,,,,Bulgaria,434.0797708,6.111756598
2009,Uruguay,427,,,,,,,,,,,Chinese Taipei,532.4735466,3.568584471
2009,Mexico,416,,,,,,,,,,,Colombia,388.0382718,3.374938089
2009,Romania,428,,,,,,,,,,,Croatia,493.2043921,2.445151581
2009,Thailand,425,,,,,,,,,,,Dubai - United Arab Emirates,—,†
2009,Trinidad_Tobago,410,,,,,,,,,,,Hong Kong-China,542.2113877,2.473315573
2009,Colombia,402,,,,,,,,,,,Indonesia,393.4810181,5.729960895
2009,Brazil,405,,,,,,,,,,,Jordan,421.971825,2.83972991
2009,Montenegro,401,,,,,,,,,,,Kazakhstan,—,†
2009,Jordan,415,,,,,,,,,,,Kyrgyz Republic,322.0315814,2.93377255
2009,Tunisia,401,,,,,,,,,,,Latvia,489.5437782,2.971691697
